               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,             0.04846,            0.030088,            0.018243,             0.93802,             0.16667,              0.4734,             0.10564,            0.058868,            0.021156,             0.02231,            0.008185,            0.008185,            0.008185
                  57,            0.056384,            0.040833,            0.020346,             0.24703,             0.83333,             0.63544,             0.34121,            0.050568,            0.021396,            0.021392,            0.008152,            0.008152,            0.008152
                  58,            0.050341,            0.041982,            0.018111,             0.24703,             0.83333,             0.63544,             0.34121,            0.050568,            0.021396,            0.021392,            0.008119,            0.008119,            0.008119
                  59,            0.048425,            0.039561,            0.019033,             0.31383,             0.83333,              0.5555,             0.21351,            0.042573,            0.021892,              0.0211,            0.008086,            0.008086,            0.008086
                  60,            0.048743,            0.037372,            0.019687,             0.31383,             0.83333,              0.5555,             0.21351,            0.042573,            0.021892,              0.0211,            0.008053,            0.008053,            0.008053
                  61,            0.049296,            0.037111,            0.017994,             0.25117,             0.66667,              0.4824,             0.21873,            0.051638,            0.020934,            0.021705,             0.00802,             0.00802,             0.00802
                  62,            0.053711,            0.035209,            0.017442,             0.25117,             0.66667,              0.4824,             0.21873,            0.051638,            0.020934,            0.021705,            0.007987,            0.007987,            0.007987
                  63,            0.052158,            0.036632,            0.016252,             0.20581,             0.70754,             0.48876,             0.16679,            0.053452,             0.01948,            0.021514,            0.007954,            0.007954,            0.007954
                  64,            0.049449,            0.029609,            0.016699,             0.20581,             0.70754,             0.48876,             0.16679,            0.053452,             0.01948,            0.021514,            0.007921,            0.007921,            0.007921
                  65,            0.057789,            0.029656,            0.014784,             0.30436,             0.66667,                0.61,             0.26043,            0.051971,            0.018981,            0.021465,            0.007888,            0.007888,            0.007888
                  66,            0.053548,            0.030506,            0.017575,             0.30436,             0.66667,                0.61,             0.26043,            0.051971,            0.018981,            0.021465,            0.007855,            0.007855,            0.007855
                  67,            0.053489,            0.029713,            0.018728,             0.15775,                 0.5,             0.43233,             0.22383,            0.056804,            0.017969,            0.020593,            0.007822,            0.007822,            0.007822
                  68,            0.050186,            0.034215,            0.014526,             0.15775,                 0.5,             0.43233,             0.22383,            0.056804,            0.017969,            0.020593,            0.007789,            0.007789,            0.007789
                  69,            0.051336,            0.040498,            0.012384,              0.2404,             0.66667,             0.24876,            0.078566,            0.054501,            0.018336,            0.019592,            0.007756,            0.007756,            0.007756
                  70,            0.056471,            0.033382,            0.013223,              0.2404,             0.66667,             0.24876,            0.078566,            0.054501,            0.018336,            0.019592,            0.007723,            0.007723,            0.007723
                  71,            0.050986,            0.034681,             0.01306,             0.41824,             0.56532,             0.66417,             0.31419,            0.047791,            0.018091,            0.018716,             0.00769,             0.00769,             0.00769
                  72,            0.047674,            0.027355,              0.0144,             0.41824,             0.56532,             0.66417,             0.31419,            0.047791,            0.018091,            0.018716,            0.007657,            0.007657,            0.007657
                  73,            0.043847,            0.026852,              0.0139,             0.64876,             0.60754,             0.68207,             0.30193,            0.056579,            0.017068,            0.017082,            0.007624,            0.007624,            0.007624
                  74,            0.041425,            0.029337,            0.016164,             0.64876,             0.60754,             0.68207,             0.30193,            0.056579,            0.017068,            0.017082,            0.007591,            0.007591,            0.007591
                  75,            0.048219,             0.02875,            0.011494,             0.62058,                 0.5,             0.66821,             0.29617,            0.050027,            0.017416,            0.016638,            0.007558,            0.007558,            0.007558
                  76,            0.048846,            0.026906,            0.012531,             0.62058,                 0.5,             0.66821,             0.29617,            0.050027,            0.017416,            0.016638,            0.007525,            0.007525,            0.007525
                  77,            0.046888,            0.031641,            0.011973,             0.69552,             0.66667,             0.74875,             0.34876,            0.053446,            0.016521,            0.015633,            0.007492,            0.007492,            0.007492
                  78,            0.042235,            0.036591,            0.011737,             0.69552,             0.66667,             0.74875,             0.34876,            0.053446,            0.016521,            0.015633,            0.007459,            0.007459,            0.007459
                  79,            0.039143,            0.027182,           0.0094307,             0.72054,             0.66667,             0.75732,               0.284,            0.046465,            0.017137,             0.01472,            0.007426,            0.007426,            0.007426
                  80,            0.046406,            0.036729,           0.0097821,             0.72054,             0.66667,             0.75732,               0.284,            0.046465,            0.017137,             0.01472,            0.007393,            0.007393,            0.007393
                  81,            0.044926,            0.043451,            0.012433,             0.48827,             0.66667,             0.73375,             0.26886,            0.062548,            0.014761,            0.013453,             0.00736,             0.00736,             0.00736
                  82,            0.052127,            0.027429,             0.00878,             0.48827,             0.66667,             0.73375,             0.26886,            0.062548,            0.014761,            0.013453,            0.007327,            0.007327,            0.007327
                  83,            0.050449,            0.027387,            0.010424,             0.62964,             0.66667,             0.75714,             0.33088,            0.049271,            0.015695,            0.011647,            0.007294,            0.007294,            0.007294
                  84,            0.046061,            0.028965,           0.0086815,             0.62964,             0.66667,             0.75714,             0.33088,            0.049271,            0.015695,            0.011647,            0.007261,            0.007261,            0.007261
                  85,            0.049292,            0.028349,            0.011764,             0.54486,             0.66667,             0.65911,             0.32432,            0.052233,            0.015356,            0.011093,            0.007228,            0.007228,            0.007228
                  86,            0.055577,            0.024036,           0.0076293,             0.54486,             0.66667,             0.65911,             0.32432,            0.052233,            0.015356,            0.011093,            0.007195,            0.007195,            0.007195
                  87,             0.05343,            0.025642,           0.0093036,             0.45738,             0.83333,             0.68543,             0.29265,            0.051287,             0.01525,           0.0099597,            0.007162,            0.007162,            0.007162
                  88,             0.05112,            0.029227,           0.0073544,             0.45738,             0.83333,             0.68543,             0.29265,            0.051287,             0.01525,           0.0099597,            0.007129,            0.007129,            0.007129
                  89,            0.046603,            0.031111,           0.0083607,             0.64249,             0.83333,             0.73567,             0.43659,            0.041052,            0.015506,           0.0093764,            0.007096,            0.007096,            0.007096
                  90,            0.043379,            0.028525,           0.0076571,             0.64249,             0.83333,             0.73567,             0.43659,            0.041052,            0.015506,           0.0093764,            0.007063,            0.007063,            0.007063
                  91,            0.049779,            0.025079,            0.013002,             0.72697,             0.83183,                0.83,             0.39482,            0.061729,            0.013826,           0.0089942,             0.00703,             0.00703,             0.00703
                  92,            0.055314,            0.029283,           0.0094122,             0.72697,             0.83183,                0.83,             0.39482,            0.061729,            0.013826,           0.0089942,            0.006997,            0.006997,            0.006997
                  93,              0.0522,            0.027379,           0.0074883,             0.46532,             0.95038,             0.60267,             0.28733,            0.049836,            0.014905,            0.008165,            0.006964,            0.006964,            0.006964
                  94,            0.050758,            0.030275,           0.0079196,             0.46532,             0.95038,             0.60267,             0.28733,            0.049836,            0.014905,            0.008165,            0.006931,            0.006931,            0.006931
                  95,            0.047348,             0.02117,            0.019907,             0.64536,             0.91025,             0.87125,             0.38297,            0.047795,            0.015175,           0.0081253,            0.006898,            0.006898,            0.006898
                  96,            0.047434,            0.027695,           0.0068631,             0.64536,             0.91025,             0.87125,             0.38297,            0.047795,            0.015175,           0.0081253,            0.006865,            0.006865,            0.006865
                  97,            0.044006,             0.02382,           0.0067564,             0.57112,             0.79778,             0.75125,              0.3752,            0.048793,            0.015102,            0.009132,            0.006832,            0.006832,            0.006832
